3819,1,02/09/2014 03:17:06,02/09/2014 03:17:06,,LOCAL,,publish,closed,closed,,local,,,02/09/2014 03:17:06,02/09/2014 03:17:06,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=3819,0,shop_coupon,,0
6047,1,07/15/2014 11:59:47,07/15/2014 18:59:47,,alysonrocks,,publish,closed,closed,,alysonrocks,,,07/15/2014 11:59:47,07/15/2014 18:59:47,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=6047,0,shop_coupon,,0
6501,1,08/08/2014 10:35:29,08/08/2014 17:35:29,,briannerocks,,publish,closed,closed,,briannerocks,,,08/08/2014 10:35:29,08/08/2014 17:35:29,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=6501,0,shop_coupon,,0
6680,1,08/28/2014 20:32:44,08/29/2014 03:32:44,,laurarocks,,publish,closed,closed,,laurarocks,,,08/28/2014 20:32:44,08/29/2014 03:32:44,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=6680,0,shop_coupon,,0
8393,1,12/08/2014 08:29:25,12/08/2014 16:29:25,,AngelaRocks,,publish,closed,closed,,angelarocks,,,12/08/2014 08:29:25,12/08/2014 16:29:25,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=8393,0,shop_coupon,,0
8735,1,01/22/2015 14:18:39,01/22/2015 22:18:39,,westfoundation,,publish,closed,closed,,westfoundation,,,01/22/2015 14:18:39,01/22/2015 22:18:39,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=8735,0,shop_coupon,,0
8814,1,02/02/2015 09:13:37,02/02/2015 17:13:37,,MannyWasWrong,,publish,closed,closed,,mannywaswrong,,,02/02/2015 09:15:51,02/02/2015 17:15:51,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=8814,0,shop_coupon,,0
8885,1,02/22/2015 15:42:50,02/22/2015 23:42:50,,GameOn,,publish,closed,closed,,gameon,,,02/22/2015 15:42:50,02/22/2015 23:42:50,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=8885,0,shop_coupon,,0
9510,1,03/23/2015 09:01:00,03/23/2015 16:01:00,,throwbackdayle,,publish,closed,closed,,throwbackdayle,,,03/23/2015 09:01:00,03/23/2015 16:01:00,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=9510,0,shop_coupon,,0
9511,1,03/23/2015 09:01:25,03/23/2015 16:01:25,,knockoutjennie,,publish,closed,closed,,knockoutjennie,,,03/23/2015 09:01:25,03/23/2015 16:01:25,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=9511,0,shop_coupon,,0
10006,1,05/27/2015 08:48:21,05/27/2015 15:48:21,,LittleHero,,publish,closed,closed,,littlehero,,,05/27/2015 08:48:21,05/27/2015 15:48:21,,0,http://www.gamerosity.com/?post_type=shop_coupon&#038;p=10006,0,shop_coupon,,0
